,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Color,Variety
12256,Sauvignon Blanc 2018,South Africa,Stellenbosch,Zonnebloem,3.5,269,6.9,2018,White,Sauvignon Blanc
12257,Riesling Tradition 2018,Germany,Pfalz,Philipp Kuhn,3.8,271,9.76,2018,White,Riesling
12258,Cuvée Terlaner 2018,Italy,Südtirol - Alto Adige,Terlan (Terlano),3.9,271,16.47,2018,White,Unknown
12259,Hermitage Le Chevalier de Sterimberg 2015,France,Hermitage,Paul Jaboulet Aîné,4.2,272,82.48,2015,White,Unknown
12260,Graupert Grauburgunder 2017,Austria,Burgenland,Meinklang,3.8,273,17.5,2017,White,Unknown
12261,Petit Chablis 2018,France,Petit Chablis,Domaine Hamelin,3.9,273,12.9,2018,White,Unknown
12262,Fransola 2012,Spain,Penedès,Torres,4.0,273,23.79,2012,White,Unknown
12263,Schlossberg 2015,Germany,Rheingau,Schloss Vollrads,3.9,274,33.9,2015,White,Unknown
12264,By the Glass Riesling 2018,Germany,Mosel,Villa Huesgen,3.6,274,8.16,2018,White,Riesling
12265,Vigna Kastelaz Gewürztraminer 2016,Italy,Südtirol - Alto Adige,Elena Walch,4.2,274,31.53,2016,White,Gewürztraminer
12266,Sauvignon Blanc 2018,France,Pays d'Oc,Paul Mas,3.7,274,5.64,2018,White,Sauvignon Blanc
12267,Vom Lehm Gewürztraminer 2015,Italy,Südtirol - Alto Adige,Castelfeder,3.8,274,12.48,2015,White,Gewürztraminer
12268,Zeltinger Sonnenuhr Riesling Spätlese 2015,Germany,Mosel,Markus Molitor,4.0,275,22.95,2015,White,Riesling
12269,Clos de la Coulée de Serrant 2015,France,Savennières-Coulée-de-Serrant,Nicolas Joly,4.2,275,72.5,2015,White,Unknown
12270,Alte Reben Riesling 2015,Germany,Mosel,Van Volxem,4.0,275,20.95,2015,White,Riesling
12271,Schieferterrassen 2017,Germany,Mosel,Heymann-Löwenstein,4.0,275,18.5,2017,White,Unknown
12272,Grüner Veltliner 2018,Austria,Niederösterreich,Weingut Bründlmayer,3.7,276,10.99,2018,White,Grüner Veltliner
12273,Riesling Kabinett Trocken 2017,Germany,Rheingau,Schloss Vollrads,3.9,276,13.9,2017,White,Riesling
12274,Blanc de Noir Cabernet Sauvignon 2018,China,Ningxia,Château Changyu Moser XV 张裕摩塞尔十五世酒庄,3.5,276,12.03,2018,White,Cabernet Sauvignon
12275,Venezia Giulia Pinot Grigio 2017,Italy,Venezia Giulia,Lis Neris,3.8,277,20.5,2017,White,Pinot Grigio
12276,Planalto Reserva Douro Branco 2019,Portugal,Douro,Casa Ferreirinha,3.9,277,8.72,2019,White,Unknown
12277,Saint-Véran 2018,France,Saint-Véran,Joseph Drouhin,3.8,277,16.6,2018,White,Unknown
12278,Re Manfredi Basilicata Bianco 2018,Italy,Basilicata,Terre degli Svevi,3.8,279,8.4,2018,White,Unknown
12279,Mâcon-Milly-Lamartine 2016,France,Mâcon-Milly-Lamartine,Les Héritiers du Comte Lafon,3.8,279,22.5,2016,White,Unknown
12280,Parcela 52 Verdejo 2017,Spain,Castilla,Finca Constancia,3.6,279,8.99,2017,White,Parc
12281,Chablis 2018,France,Chablis,Domaine des Malandes,3.8,280,16.09,2018,White,Unknown
12282,Chardonnay 2017,United States,Napa Valley,Napa Cellars,3.9,281,22.75,2017,White,Chardonnay
12283,Chardonnay 2019,South Africa,Stellenbosch,Lanzerac,3.9,281,10.9,2019,White,Chardonnay
12284,Chardonnay Reserve Collection 2018,South Africa,Stellenbosch,Tokara,4.1,282,25.26,2018,White,Chardonnay
12285,Sauvignon Blanc Organic 2016,Chile,Casablanca Valley,Veramonte,3.5,282,8.41,2016,White,Sauvignon Blanc
12286,Lusco Albariño 2018,Spain,Rías Baixas,Pazos de Lusco,4.0,282,19.53,2018,White,Albariño
12287,Le G de Guiraud Bordeaux Blanc Sec 2018,France,Bordeaux,Château Guiraud,3.9,282,19.45,2018,White,Unknown
12288,Zeltinger Sonnenuhr Riesling Kabinett 2015,Germany,Mosel,Markus Molitor,3.9,282,16.95,2015,White,Riesling
12289,Priara Pinot Grigio 2016,Italy,Friuli-Venezia Giulia,Pradio,3.9,282,9.7,2016,White,Pinot Grigio
12290,Sauvignon Blanc 2016,United States,California,Geyser Peak,3.3,282,10.51,2016,White,Sauvignon Blanc
12291,Monte Velho Branco 2019,Portugal,Alentejano,Esporão,3.8,282,5.8,2019,White,Unknown
12292,Sauvignon Touraine 2018,France,Touraine,Domaine de la Chaise,4.0,282,7.4,2018,White,Unknown
12293,Torricella 2016,Italy,Toscana,Ricasoli,3.9,283,11.9,2016,White,Unknown
12294,Zeltinger Sonnenuhr Riesling Spätlese 2016,Germany,Mosel,Markus Molitor,3.9,284,19.99,2016,White,Riesling
12295,Blas Muñoz Chardonnay 2018,Spain,La Mancha,Munoz,4.2,284,19.01,2018,White,Chardonnay
12296,The Y Series Viognier 2017,Australia,South Australia,Yalumba,3.4,285,13.82,2017,White,Viognier
12297,Sauvignon Blanc Bordeaux 2018,France,Bordeaux,Dourthe N°1,3.6,285,7.7,2018,White,Sauvignon Blanc
12298,Haus Klosterberg Pinot Blanc 2018,Germany,Mosel,Markus Molitor,4.0,285,9.65,2018,White,Pinot Blanc
12299,Vinho Verde Loureiro - Alvarinho 2019,Portugal,Minho,Aveleda,3.8,286,6.99,2019,White,Loureiro
12300,Chenin Blanc 2018,South Africa,Stellenbosch,Stellenrust,3.7,286,14.57,2018,White,Chenin Blanc
12301,Hinter der Burg Grüner Veltliner 2017,Austria,Wachau,Prager,3.9,286,18.42,2017,White,Grüner Veltliner
12302,Danie de Wet Chardonnay 2015,South Africa,Robertson,De Wetshof,3.9,286,28.6,2015,White,Chardonnay
